,EmailMessageId,EmailConversationId,EmailMessagePermaKey,TenantPermaKey,AuthorPermaKey,UserProfilePermaKey,EmailParticipantsTypeId,TimeSinceLastEmail,IsReply,IsForward,Label
8656,382037616,168255864,3PMTc3NPzM9f,3nsfSYgbC2jw,XtDHFFVJ5Js,2HzVbyj4HGtn,2.0,1.0,1,0,3
8657,382037616,168255864,3PMTc3NPzM9f,3nsfSYgbC2jw,XtDHFFVJ5Js,3szX2L9888Q2,2.0,1.0,1,0,3
8658,382062712,168255864,3x5HjgmknZj2,3nsfSYgbC2jw,3szX2L9888Q2,2HzVbyj4HGtn,2.0,1.0,1,0,3
8659,382062712,168255864,3x5HjgmknZj2,3nsfSYgbC2jw,3szX2L9888Q2,3szX2L9888Q2,2.0,1.0,1,0,3
8660,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,2cSJ4W3cRPY,2.0,37.0,1,0,4
8661,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,2P14w98F8W26,2.0,37.0,1,0,4
8662,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,2P14w98F8W26,2.0,37.0,1,0,4
8663,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,3khN6fsQ7x7f,2.0,37.0,1,0,4
8664,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,3khN6fsQ7x7f,2.0,37.0,1,0,4
8665,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,4pWvCfzRkZSl,2.0,37.0,1,0,4
8666,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,4pWvCfzRkZSl,2.0,37.0,1,0,4
8667,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,2cSJ4W3cRPY,2.0,37.0,1,0,4
8668,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,2Dj83vP3vcrb,2.0,37.0,1,0,4
8669,382361847,159775711,3PHjDxdxNgpX,4MrlrGLRXmmS,3mrRBWpHWv2F,2Dj83vP3vcrb,2.0,37.0,1,0,4
8670,394359973,162490675,z3Fhskh8SLr,2hLtMZv9rct,,4fCvLgz7MNLg,3.0,771.0,1,0,4
8671,394359973,162490675,z3Fhskh8SLr,2hLtMZv9rct,,4fCvLgz7MNLg,3.0,771.0,1,0,4
8672,394359973,162490675,z3Fhskh8SLr,2hLtMZv9rct,,4fCvLgz7MNLg,3.0,771.0,1,0,4
8673,394359973,162490675,z3Fhskh8SLr,2hLtMZv9rct,,4fCvLgz7MNLg,3.0,771.0,1,0,4
8674,394359973,162490675,z3Fhskh8SLr,2hLtMZv9rct,,4fCvLgz7MNLg,3.0,771.0,1,0,4
8675,382996294,163103537,4mbTFpVnLTmb,JybMyxk8QhF,2C8NJ5H73zqL,2C8NJ5H73zqL,2.0,69.0,1,0,4
8676,382996294,163103537,4mbTFpVnLTmb,JybMyxk8QhF,2C8NJ5H73zqL,2C8NJ5H73zqL,2.0,69.0,1,0,4
